PF02800,Glyceraldehyde3-phosphatedehydrogenase: C-terminaldomain
PF01650,PeptidaseC13family
PF02931,Neurotransmitter-gatedion-channelligandbindingdomain
PF00078,Reversetranscriptase(RNA-dependentDNApolymerase)
PF05001,RNApolymeraseRpb1C-terminalrepeat
PF09133,SANTA(SANTAssociated)
PF00435,Spectrinrepeat
PF01400,Astacin(PeptidasefamilyM12A)
PF13639,Ringfingerdomain
PF00400,WDdomain: G-betarepeat
PF00178,Ets-domain
PF02204,Vacuolarsortingprotein9(VPS9)domain
PF04137,EndoplasmicReticulumOxidoreductin1(ERO1)
PF00550,Phosphopantetheineattachmentsite
PF11904,GPCR-chaperone
PF00408,Phosphoglucomutase/phosphomannomutase: C-terminaldomain
PF01095,Pectinesterase
PF00400,WDdomain: G-betarepeat
PF14226,non-haemdioxygenaseinmorphinesynthesisN-terminal
PF02519,Auxinresponsiveprotein
PF13041,PPRrepeatfamily
PF05920,HomeoboxKNdomain
PF00182,ChitinaseclassI
PF00270,DEAD/DEAHboxhelicase
PF00230,Majorintrinsicprotein
PF00069,Proteinkinasedomain
PF03912,Psb28protein
PF00375,Sodium:dicarboxylatesymporterfamily
PF00089,Trypsin
PF07646,Kelchmotif
PF07714,Proteintyrosineandserine/threoninekinase
PF01201,RibosomalproteinS8e
PF02773,S-adenosylmethioninesynthetase: C-terminaldomain
PF00270,DEAD/DEAHboxhelicase
PF00076,RNArecognitionmotif.(a.k.a.RRM: RBD: orRNPdomain)
PF02221,MLdomain
PF00418,TauandMAPprotein: tubulin-bindingrepeat
PF00435,Spectrinrepeat
PF03311,Cornichonprotein
PF02210,LamininGdomain
PF00033,Cytochromeb/b6/petB
PF00115,CytochromeCandQuinoloxidasepolypeptideI
PF00361,Proton-conductingmembranetransporter
PF00115,CytochromeCandQuinoloxidasepolypeptideI
PF00400,WDdomain: G-betarepeat
PF00027,Cyclicnucleotide-bindingdomain
PF02862,DDHDdomain
PF03061,Thioesterasesuperfamily
PF00168,C2domain
PF01900,Rpp14/Pop5family
PF13359,DDEsuperfamilyendonuclease
PF05653,MagnesiumtransporterNIPA
PF13516,LeucineRichrepeat
PF13516,LeucineRichrepeat
PF05903,PPPDEputativepeptidasedomain
PF00999,Sodium/hydrogenexchangerfamily
PF14765,Polyketidesynthasedehydratase
PF12763,Cytoskeletal-regulatorycomplexEFhand
PF03165,MH1domain
PF11901,Proteinofunknownfunction(DUF3421)
PF13181,Tetratricopeptiderepeat
PF11601,Shal-typevoltage-gatedpotassiumchannels: N-terminal
PF00858,Amiloride-sensitivesodiumchannel
PF01390,SEAdomain
PF03455,dDENNdomain
PF00412,LIMdomain
PF15868,TranscriptionactivatorMBF2
PF00412,LIMdomain
PF00106,shortchaindehydrogenase
PF02770,Acyl-CoAdehydrogenase: middledomain
PF00270,DEAD/DEAHboxhelicase
PF04420,CHD5-likeprotein
PF01391,Collagentriplehelixrepeat(20copies)
PF00270,DEAD/DEAHboxhelicase
PF03134,TB2/DP1: HVA22family
PF00014,Kunitz/Bovinepancreatictrypsininhibitordomain
PF01798,snoRNAbindingdomain: fibrillarin
PF00271,HelicaseconservedC-terminaldomain
PF01657,Saltstressresponse/antifungal
PF00293,NUDIXdomain
PF04564,U-boxdomain
PF07714,Proteintyrosineandserine/threoninekinase
PF00581,Rhodanese-likedomain
PF00225,Kinesinmotordomain
PF00083,Sugar(andother)transporter
PF04099,Sybindin-likefamily
PF00107,Zinc-bindingdehydrogenase
PF13041,PPRrepeatfamily
PF07145,Ataxin-2C-terminalregion
PF00249,Myb-likeDNA-bindingdomain
PF08030,FerricreductaseNADbindingdomain
PF00400,WDdomain: G-betarepeat
PF01156,Inosine-uridinepreferringnucleosidehydrolase
PF00400,WDdomain: G-betarepeat
PF00483,Nucleotidyltransferase
PF00116,CytochromeCoxidasesubunitII: periplasmicdomain
PF00016,Ribulosebisphosphatecarboxylaselargechain: catalyticdomain
PF00638,RanBP1domain
PF00989,PASfold
PF05198,TranslationinitiationfactorIF-3: N-terminaldomain
PF00071,Rasfamily
PF06200,tifydomain
PF15445,acidicterminalsegments: variantsurfaceantigenofPfEMP1
PF01168,Alanineracemase: N-terminaldomain
PF00435,Spectrinrepeat
PF01535,PPRrepeat
PF07690,MajorFacilitatorSuperfamily
PF14863,Alkylsulfatasedimerisation
PF01588,PutativetRNAbindingdomain
PF00153,Mitochondrialcarrierprotein
PF00400,WDdomain: G-betarepeat
PF06522,NADH-ubiquinonereductasecomplex1MLRQsubunit
PF08159,NUC153domain
PF00069,Proteinkinasedomain
PF10590,Pyridoxine5'-phosphateoxidaseC-terminaldimerisationregion
PF00307,Calponinhomology(CH)domain
PF04193,PQlooprepeat
PF05236,TranscriptioninitiationfactorTFIIDcomponentTAF4family
PF00788,Rasassociation(RalGDS/AF-6)domain
PF00051,Kringledomain
PF01007,Inwardrectifierpotassiumchanneltransmembranedomain
PF00520,Iontransportprotein
PF06297,PETDomain
PF02996,Prefoldinsubunit
PF16198,tRNApseudouridylatesynthaseBC-terminaldomain
PF00090,Thrombospondintype1domain
PF04419,4F5proteinrelateddisorderedregion
PF00071,Rasfamily
PF00595,PDZdomain
PF00530,Scavengerreceptorcysteine-richdomain
PF00643,B-boxzincfinger
PF01198,RibosomalproteinL31e
PF00868,Transglutaminasefamily
PF08347,N-terminalCTNNB1binding
PF01612,3'-5'exonuclease
PF02852,Pyridinenucleotide-disulphideoxidoreductase: dimerisationdomain
PF01595,CyclinMtransmembraneN-terminaldomain
PF00084,Sushirepeat(SCRrepeat)
PF00067,CytochromeP450
PF00629,MAMdomain: meprin/A5/mu
PF00071,Rasfamily
PF00788,Rasassociation(RalGDS/AF-6)domain
PF00766,ElectrontransferflavoproteinFAD-bindingdomain
PF10294,Lysinemethyltransferase
PF09445,RNAcapguanine-N2methyltransferase
PF00153,Mitochondrialcarrierprotein
PF03647,Transmembraneproteins14C
PF00135,Carboxylesterasefamily
PF00557,MetallopeptidasefamilyM24
PF00186,Dihydrofolatereductase
PF01184,GPR1/FUN34/yaaHfamily
PF12937,F-box-like
PF01582,TIRdomain
PF00005,ABCtransporter
PF00582,Universalstressproteinfamily
PF01193,RNApolymeraseRpb3/Rpb11dimerisationdomain
PF00107,Zinc-bindingdehydrogenase
PF03140,Plantproteinofunknownfunction
PF00931,NB-ARCdomain
PF00433,ProteinkinaseCterminaldomain
PF01422,NF-X1typezincfinger
PF02466,Tim17/Tim22/Tim23/Pmp24family
PF13855,Leucinerichrepeat
PF00481,Proteinphosphatase2C
PF05199,GMCoxidoreductase
PF00560,LeucineRichRepeat
PF04051,Transportproteinparticle(TRAPP)component
PF14226,non-haemdioxygenaseinmorphinesynthesisN-terminal
PF13520,Aminoacidpermease
PF00621,RhoGEFdomain
PF00630,Filamin/ABP280repeat
PF00632,HECT-domain(ubiquitin-transferase)
PF02881,SRP54-typeprotein: helicalbundledomain
PF02149,Kinaseassociateddomain1
PF01582,TIRdomain
PF04727,ELMO/CED-12family
PF01753,MYNDfinger
PF00400,WDdomain: G-betarepeat
PF02891,MIZ/SP-RINGzincfinger
PF00118,TCP-1/cpn60chaperoninfamily
PF00685,Sulfotransferasedomain
PF07717,Oligonucleotide/oligosaccharide-binding(OB)-fold
PF00465,Iron-containingalcoholdehydrogenase
PF04755,PAP_fibrillin
PF01813,ATPsynthasesubunitD
PF01231,Indoleamine2: 3-dioxygenase
PF00071,Rasfamily
PF00888,Cullinfamily
PF06814,Lungseventransmembranereceptor
PF01040,UbiAprenyltransferasefamily
PF03184,DDEsuperfamilyendonuclease
PF01061,ABC-2typetransporter
PF00106,shortchaindehydrogenase
PF13041,PPRrepeatfamily
PF08100,Dimerisationdomain
PF08774,VRR-NUCdomain
PF08389,Exportin1-likeprotein
PF01535,PPRrepeat
PF01535,PPRrepeat
PF00612,IQcalmodulin-bindingmotif
PF05553,Cottonfibreexpressedprotein
PF13952,Domainofunknownfunction(DUF4216)
PF00400,WDdomain: G-betarepeat
PF08263,LeucinerichrepeatN-terminaldomain
PF04083,Partialalpha/beta-hydrolaselipaseregion
PF03109,ABC1family
PF01490,Transmembraneaminoacidtransporterprotein
PF09532,FDFdomain
PF00719,Inorganicpyrophosphatase
PF02005,N2: N2-dimethylguanosinetRNAmethyltransferase
PF09139,Phosphatidatecytidylyltransferase: mitochondrial
PF03619,OrganicsolutetransporterOstalpha
PF00240,Ubiquitinfamily
PF00989,PASfold
PF00612,IQcalmodulin-bindingmotif
PF01535,PPRrepeat
PF13855,Leucinerichrepeat
PF00847,AP2domain
PF01344,Kelchmotif
PF02437,SKI/SNO/DACfamily
PF00595,PDZdomain
PF15391,Domainofunknownfunction(DUF4614)
PF16086,Domainofunknownfunction(DUF4816)
PF01824,MatK/TrnKaminoterminalregion
PF04563,RNApolymerasebetasubunit
PF06444,NADHdehydrogenasesubunit2C-terminus
PF13833,EF-handdomainpair
PF00060,Ligand-gatedionchannel
PF01535,PPRrepeat
PF04667,cAMP-regulatedphosphoprotein/endosulfineconservedregion
PF00847,AP2domain
PF00076,RNArecognitionmotif.(a.k.a.RRM: RBD: orRNPdomain)
PF07765,KIP1-likeprotein
PF00933,Glycosylhydrolasefamily3Nterminaldomain
PF00076,RNArecognitionmotif.(a.k.a.RRM: RBD: orRNPdomain)
PF00005,ABCtransporter
PF00664,ABCtransportertransmembraneregion
PF07714,Proteintyrosineandserine/threoninekinase
PF00931,NB-ARCdomain
PF02290,Signalrecognitionparticle14kDprotein
PF03901,Alg9-likemannosyltransferasefamily
PF13889,Chromosomesegregationduringmeiosis
PF00571,CBSdomain
PF00028,Cadherindomain
PF04560,RNApolymeraseRpb2: domain7
PF00155,AminotransferaseclassIandII
PF00373,FERMcentraldomain
PF00016,Ribulosebisphosphatecarboxylaselargechain: catalyticdomain
PF02095,Extensin-likeproteinrepeat
PF00497,Bacterialextracellularsolute-bindingproteins: family3
PF07899,Frigida-likeprotein
